scholarship_id,scholarship_name,provider,provider_type,source,official_source_url,application_url,country_of_provider,study_country,eligible_nationalities,education_level,study_mode,field_of_study,age_min,age_max,academic_requirement,minimum_percentage_or_gpa,family_income_limit,gender_eligibility,category_eligibility,disability_eligibility,residency_requirement,scholarship_amount,currency,funding_type,tuition_coverage,living_expense_coverage,travel_coverage,accommodation_coverage,application_fee,application_deadline,scholarship_duration,number_of_awards,documents_required,eligibility_criteria,selection_criteria,description,renewable,last_verified
SCH_0772,PhD Scholarships at the IMT School,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2927/PhD_Scholarships_at_the_IMT_School_,https://www.iefa.org/scholarships/2927/PhD_Scholarships_at_the_IMT_School_,International,International,Unrestricted,Postgraduate,Full-time,"Biology/Life Sciences, Business/Management, Computer & Information Systems...",Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay","Nationalities: Unrestricted; Host country: Unrestricted; Fields: Biology/Life Sciences, Business/Management, Computer & Information Systems....","Merit, essay response, and academic verification.","Applications are now being accepted for the 2017/18 PhD program at the IMT School for Advanced Studies Lucca (www.imtlucca.it), one...",Not specified,2026-09-16
SCH_0773,"PhD Scholarships in Economics, CS & Engineering, Neuroscience, Cultural Heritage",International Organization / Foundation,Organization / Foundation,IEFA,"https://www.iefa.org/scholarships/2922/PhD_Scholarships_in_Economics,_CS_&_Engineering,_Neuroscience,_Cultural_Heritage","https://www.iefa.org/scholarships/2922/PhD_Scholarships_in_Economics,_CS_&_Engineering,_Neuroscience,_Cultural_Heritage",Italy,Italy,Unrestricted,Postgraduate,Full-time,"Architecture & Design, Biology/Life Sciences, Business/Management...",Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay","Nationalities: Unrestricted; Host country: Italy; Fields: Architecture & Design, Biology/Life Sciences, Business/Management....","Merit, essay response, and academic verification.","Applications are now being accepted for the 2017/18 PhD program at the IMT School for Advanced Studies Lucca (www.imtlucca.it), one...",Not specified,2026-09-16
SCH_0774,Jane Curnow Library Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2921/Jane_Curnow_Library_Scholarship,https://www.iefa.org/scholarships/2921/Jane_Curnow_Library_Scholarship,International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.",This scholarship is open to persons of all citizenship. Priority is for those from the most deprived socio-economic backgrounds. There...,Not specified,2026-09-16
SCH_0775,Global Student,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2918/Global_Student,https://www.iefa.org/scholarships/2918/Global_Student,International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.","Every year, thousands of international students look to pursue a higher education in the U.S. But for many, this dream...",Not specified,2026-09-16
SCH_0776,The Healthline Stronger Scholarship Program,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2916/The_Healthline_Stronger_Scholarship_Program,https://www.iefa.org/scholarships/2916/The_Healthline_Stronger_Scholarship_Program,International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.","The mission of this scholarship is to support, guide, and inspire emerging leaders of tomorrow who can change the field...",Not specified,2026-09-16
SCH_0777,Scholarship for Outdoor Lovers,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2915/Scholarship_for_Outdoor_Lovers,https://www.iefa.org/scholarships/2915/Scholarship_for_Outdoor_Lovers,International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.","There are many scholarships for students who love sports, arts or music as well as for those who academically achieve...",Not specified,2026-09-16
SCH_0778,"$10,000 Upvote Scholarship",International Organization / Foundation,Organization / Foundation,IEFA,"https://www.iefa.org/scholarships/2904/$10,000_Upvote_Scholarship_","https://www.iefa.org/scholarships/2904/$10,000_Upvote_Scholarship_",International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.",Register and apply for the scholarship then do a post on any channel. You need to get others to upvote...,Not specified,2026-09-16
SCH_0779,A-1 Auto Transport Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2906/A-1_Auto_Transport_Scholarship,https://www.iefa.org/scholarships/2906/A-1_Auto_Transport_Scholarship,International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.","One award worth $1,000 will be awarded under this A-1 Auto Transport Scholarship. The scholarship will be sent directly to...",Not specified,2026-09-16
SCH_0780,De Niro Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2905/De_Niro_Scholarship,https://www.iefa.org/scholarships/2905/De_Niro_Scholarship,United Kingdom,United Kingdom,Unrestricted,Any,Full-time,"Business/Management, English Literature, Marketing...",Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,GBP,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay","Nationalities: Unrestricted; Host country: United Kingdom; Fields: Business/Management, English Literature, Marketing....","Merit, essay response, and academic verification.","At Onlinecasinocode.co.uk, we believe gambling is an entertainment like any other, reflects the irreducible part of chance in life, helps...",Not specified,2026-09-16
SCH_0781,School of Science Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2611/School_of_Science_Scholarship,https://www.iefa.org/scholarships/2611/School_of_Science_Scholarship,USA,USA,Unrestricted,Any,Full-time,Chemistry and Science,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: United States; Fields: Chemistry and Science.,"Merit, essay response, and academic verification.",The Global Science Course was designed to create an international platform enhancing cross-cultural interactions among young minds from around the...,Not specified,2026-09-16
SCH_0782,MA Applied and Professional Ethics (Online) Scholarships,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2580/MA_Applied_and_Professional_Ethics_(Online)_Scholarships,https://www.iefa.org/scholarships/2580/MA_Applied_and_Professional_Ethics_(Online)_Scholarships,International,International,Unrestricted,Postgraduate,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.","Our taught Masters degree in Applied and Professional Ethics is designed to help people in business, the professions, and the...",Not specified,2026-09-16
